CNPJ;Nome;Site;Perfil;Código
00588458000103;FUGINI ALIMENTOS LTDA;;SEGMENTO BALCÃO;26205.40-1
00598452000117;MB  MASTER REFERENCIADO DI LONGO PRAZO FIF;;SEGMENTO BALCÃO;23968.00-2
00601634000108;SULABENTURES S/A;;SEGMENTO BALCÃO;31739.41-2
00601692000123;FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES;;SEGMENTO BALCÃO;21629.00-6
00622416000141;STATKRAFT ENERGIAS RENOVAVEIS S.A;;SEGMENTO BALCÃO;16265.40-6
00624910000145;CSM CARTOES DE SEGURANCA S/A;;SEGMENTO BALCÃO;32569.41-6
00625711000151;HOSPITAL MERIDIONAL S/A;;SEGMENTO BALCÃO;29160.40-2
00627638000157;POSTALIS INSTITUTO DE PREVIDENCIA COMPLEMENTAR;;GESTOR;20714
00627638000157;POSTALIS INSTITUTO DE PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;27059.70-4
00635156000149;PARTICIPACOES ABC S/A;;SEGMENTO BALCÃO;31839.41-5
00636975000100;SAO  DOMINGOS SAUDE - ASSISTENCIA MEDICA LTDA;;SEGMENTO BALCÃO;25813.00-7
00643535000180;PLAYCENTER S/A;;SEGMENTO BALCÃO;34789.43-8
00644907000193;INVESTCO S/A;;SEGMENTO BALCÃO;39229.41-2
00647154000170;ZEMA CIA. DE PETROLEO;;SEGMENTO BALCÃO;27744.40-4
00647785000199;ALMA FILMES LTDA;;SEGMENTO BALCÃO;33919.44-3
00655522000121;ASSOC DE POUP E EMPR POUPEX / BB;;PARTICIPANTE DE BALCÃO;70018
00655522000121;ASSOC DE POUP E EMPR POUPEX / BB;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;22560.00-9
00660903000107;FUNDAFFEMG - FUNDACAO AFFEMG DE ASSISTENCIA E SAUDE;;SEGMENTO BALCÃO;26412.70-6
00668697000173;AQUATICA MARICULTURA DO BRASIL LTDA;;SEGMENTO BALCÃO;39859.00-2
00681295000109;MODAL  PARTICIPACOES LTDA;;SEGMENTO BALCÃO;26444.40-6
00692214000176;CENTRAL DAS COOP. DE ECONOMIA E CREDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL;;SEGMENTO BALCÃO;03094.00-6
00694303000151;SMA EMPRENDIMENTOS E PARTICIPACOES SA;;SEGMENTO BALCÃO;31939.40-1
00694389000112;COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSOCIADOS - SICOOB CREDICARU SC/RS;;SEGMENTO BALCÃO;25510.00-1
00694877000120;CECM DOS SERV. DO P. EX. FED. DOS SERV. DA SEC. DE S. DOS TRAB. EM ENS. DO DF LTDA SICOOB EXECUTIVO;;SEGMENTO BALCÃO;03728.00-4
00698609000186;COOPERATIVA DE CREDITO DO NORTE E NOROESTE DE MINAS GERAIS LTDA - SICOOB CREDIGERAIS;;SEGMENTO BALCÃO;21804.00-3
00700805000148;LAGOA CULTURAL E ESPORTIVA LTDA;;SEGMENTO BALCÃO;33329.44-2
00707903000107;COOPERATIVA DE CREDITO VALE DO CANOAS SICOOB/SC CREDICANOAS;;SEGMENTO BALCÃO;28493.00-8
00718528000109;LABORATORIO SABIN DE ANALISES CLINICAS S.A.;;SEGMENTO BALCÃO;31765.40-0
